timestamp,tank_level_m3,tank_level_pct,pump_running,pump_flow_m3h,consumption_m3h,network_pressure_bar,turbidity_raw_ntu,turbidity_clean_ntu,daily_consumption_m3,active_faults
2026-09-01T00:00:00,59.98,60.0,0,0.0,1.23,3.92,0.148,0.066,0.02,
2026-09-01T00:01:00,59.96,60.0,0,0.0,1.13,3.96,0.15,0.066,0.04,
2026-09-01T00:02:00,59.94,59.9,0,0.0,1.29,3.92,0.149,0.066,0.06,
2026-09-01T00:03:00,59.92,59.9,0,0.0,1.09,3.93,0.149,0.066,0.08,
2026-09-01T00:04:00,59.9,59.9,0,0.0,1.09,3.93,0.15,0.066,0.1,
2026-09-01T00:05:00,59.88,59.9,0,0.0,1.21,3.93,0.151,0.066,0.12,
2026-09-01T00:06:00,59.86,59.9,0,0.0,1.27,3.91,0.154,0.066,0.14,
2026-09-01T00:07:00,59.84,59.8,0,0.0,1.25,3.93,0.151,0.066,0.16,
2026-09-01T00:08:00,59.82,59.8,0,0.0,1.31,3.93,0.147,0.066,0.18,
2026-09-01T00:09:00,59.8,59.8,0,0.0,1.1,3.97,0.148,0.066,0.2,
2026-09-01T00:10:00,59.78,59.8,0,0.0,1.27,3.96,0.148,0.066,0.22,
2026-09-01T00:11:00,59.76,59.8,0,0.0,1.31,3.93,0.149,0.066,0.24,
2026-09-01T00:12:00,59.74,59.7,0,0.0,1.28,3.95,0.152,0.066,0.26,
2026-09-01T00:13:00,59.72,59.7,0,0.0,1.22,3.96,0.148,0.066,0.28,
2026-09-01T00:14:00,59.7,59.7,0,0.0,1.13,3.94,0.144,0.066,0.3,
2026-09-01T00:15:00,59.68,59.7,0,0.0,1.14,3.92,0.142,0.066,0.32,
2026-09-01T00:16:00,59.66,59.7,0,0.0,1.23,3.94,0.14,0.066,0.34,
2026-09-01T00:17:00,59.64,59.6,0,0.0,1.13,3.94,0.145,0.066,0.36,
2026-09-01T00:18:00,59.62,59.6,0,0.0,1.24,3.95,0.141,0.066,0.38,
2026-09-01T00:19:00,59.6,59.6,0,0.0,1.25,3.92,0.14,0.066,0.4,
2026-09-01T00:20:00,59.57,59.6,0,0.0,1.32,3.95,0.141,0.066,0.43,
2026-09-01T00:21:00,59.55,59.6,0,0.0,1.24,3.96,0.144,0.066,0.45,
2026-09-01T00:22:00,59.54,59.5,0,0.0,1.13,3.92,0.142,0.066,0.46,
2026-09-01T00:23:00,59.52,59.5,0,0.0,1.14,3.93,0.146,0.066,0.48,
2026-09-01T00:24:00,59.49,59.5,0,0.0,1.29,3.93,0.148,0.066,0.51,
2026-09-01T00:25:00,59.48,59.5,0,0.0,1.17,3.97,0.147,0.066,0.52,
2026-09-01T00:26:00,59.46,59.5,0,0.0,1.14,3.93,0.148,0.066,0.54,
2026-09-01T00:27:00,59.44,59.4,0,0.0,1.14,3.95,0.152,0.066,0.56,
